ts_code,code,portfolio_weight,portfolio_seed_weight,score_seed,source_latest_portfolio,source_latest_scores,source_integrated_thesis,source_router,target_exposure,cash_buffer,price,price_date,price_source,integrated_thesis_score,integrated_thesis_state,primary_event_type,primary_mechanism_group,primary_event_fact_id,primary_reason_chain,mechanism_reason_chain,earnings_reason,earnings_reason_chain,thesis_reason_chain,thesis_gate_stage,thesis_reject_reason,mechanism_primary,router_final_score,router_allow_entry,router_signal_state,event_fact_backed,seed_weight_norm,pred_score_norm,router_score_norm,thesis_score_norm,selection_score,candidate_pool_basis,candidate_tier,industry,valuation_trade_date,pe_pct_1y,pb_pct_1y,ps_pct_1y,pe_pct_industry,pb_pct_industry,ps_pct_industry,crowding_trade_date,turnover_pct_rank,crowding_score,fund_exposure_proxy,northbound_holding_change,margin_balance_change,revision_trade_date,eps_revision_7d,eps_revision_30d,analyst_count,revision_score,fact_contract_count,fact_contract_amount,fact_government_contracts,has_bid_award,has_new_order,valuation_signal_score,revision_signal_score,order_flow_signal_score,event_drive_signal_score,industry_signal_score,liquidity_signal_score,data_activation_score,activation_alpha_family,alpha_family_horizon,alpha_family_capacity,alpha_family_style,alpha_family_objective,alpha_family_risk_budget,alpha_family_default_state,activation_llm_boost,alpha_activation_priority,llm_symbol_favored,llm_symbol_blocked,llm_mechanism_favored,llm_event_favored
688496.SH,688496,0.05,0.05,0.0081711438810406,1.0,1.0,0.0,0.0,0.3,0.7,0.97,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.9579551528262502,0.20554984583761562,0.0,0.890869976197822,hard_data_only,F,,2026-05-29,0.0,0.0625,0.0625,0.0,0.003257328990228013,0.029315960912052116,2026-05-29,0.8567017798764983,0.6102919211454123,0.5564237688533528,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.9912116237913258,0.0,0.0,0.0,0.0,0.4414876393804922,0.7140140595001196,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.6356791980684834,False,False,False,False
301139.SZ,301139,0.02,0.0,0.0084143073705716,0.0,1.0,0.0,0.0,0.3,0.7,4.31,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.9742129631863947,0.20554984583761562,0.0,0.7163122118284674,hard_data_only,F,,2026-05-29,0.0,0.0625,0.0625,0.0,0.0072992700729927005,0.007352941176470588,2026-05-29,0.9936432982201235,0.5925241665560489,0.18408141013992368,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.9964117909075234,0.0,0.0,0.0,0.0,0.4250246092023504,0.7109994622210593,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.5545405322215282,False,False,False,False
300430.SZ,300430,0.05,0.05,0.0017110579352356,1.0,1.0,0.0,0.0,0.3,0.7,5.17,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.5260364777829606,0.20554984583761562,0.0,0.6986949253934733,hard_data_only,F,,2026-05-29,0.0,0.125,0.125,0.0,0.009345794392523364,0.12149532710280374,2026-05-29,0.8269160915365056,0.5554989257584889,0.4027803016536435,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.9613179777761425,0.0,0.0,0.0,0.0,0.4190205628647237,0.6891854701859403,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.5395119337363476,False,False,False,False
600180.SH,600180,0.05,0.05,0.0,1.0,1.0,0.0,0.0,0.3,0.7,1.34,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.4116358517681971,0.20554984583761562,0.0,0.660491791177641,hard_data_only,F,,2026-05-29,0.0,0.15625,0.15625,0.0,0.021739130434782608,0.13043478260869565,2026-05-29,0.8723211042499092,0.7242114610536049,0.9777394148646193,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.9542879150975693,0.0,0.0,0.0,0.0,0.491097711322385,0.7111964085306974,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.528776287860884,False,False,False,False
600370.SH,600370,0.05,0.05,0.0,1.0,1.0,0.0,0.0,0.3,0.7,1.42,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.4116358517681971,0.20554984583761562,0.0,0.6510648470452394,hard_data_only,F,,2026-05-29,0.0,0.1875,0.1875,0.0,0.06274509803921569,0.00392156862745098,2026-05-29,0.5713766799854704,0.4688773811517398,0.6184808286389242,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.9780392156862745,0.0,0.0,0.0,0.0,0.39655235961181645,0.6904608102445677,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.5180877338950506,False,False,False,False
000725.SZ,000725,0.02,0.0,0.0046308495930905,0.0,1.0,0.0,0.0,0.3,0.7,5.11,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.7212525406717322,0.20554984583761562,0.0,0.5975521046452363,hard_data_only,F,,2026-05-29,0.875,0.875,0.875,0.07488986784140969,0.016286644951140065,0.04234527687296417,2026-05-29,0.9206320377769706,0.5408288128543828,0.13792476830819553,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.9565157257163801,0.0,0.0,0.0,0.0,0.40663914619485997,0.6820388990313225,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.49078586899721083,False,False,False,False
300532.SZ,300532,0.05,0.05,0.0,1.0,1.0,0.0,0.0,0.3,0.7,6.97,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.4116358517681971,0.20554984583761562,0.0,0.6257467079870721,hard_data_only,F,,2026-05-29,0.0625,0.0625,0.0625,0.021897810218978103,0.1897810218978102,0.07553956834532374,2026-05-29,0.27569923719578643,0.31979285776097166,0.6726331092131564,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.9043424206551192,0.0,0.0,0.0,0.0,0.348859183045005,0.6320210614630686,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.4879638667183499,False,False,False,False
300068.SZ,300068,0.05,0.05,0.0,1.0,1.0,0.0,0.0,0.3,0.7,4.43,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.4116358517681971,0.20554984583761562,0.0,0.6175542351546408,hard_data_only,F,,2026-05-29,0.0,0.8125,0.1875,0.0,0.5362318840579711,0.031791907514450865,2026-05-29,0.8490737377406465,0.6245182679143609,0.630110848628021,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.8039248211905152,0.0,0.0,0.0,0.0,0.44828262703921445,0.6115796456008058,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.4774269546135283,False,False,False,False
688622.SH,688622,0.05,0.05,0.0087999968156664,1.0,1.0,0.0,0.0,0.3,0.7,116.98,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,1.0,0.20554984583761562,0.0,0.7579382939114234,hard_data_only,F,,2026-05-29,0.0,1.0,1.0,0.0,0.9813084112149533,0.9906542056074766,2026-05-29,0.6427533599709407,0.5949735520545244,0.965836816282028,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.359356832732357,0.0,0.0,0.0,0.0,0.44807908784786055,0.3625482979553497,liquidity,short,low,tactical,intraday_liquidity_timing,low,shadow,0.0,0.46262505608908666,False,False,False,False
600611.SH,600611,0.05,0.05,0.0,1.0,1.0,0.0,0.0,0.3,0.7,4.73,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.4116358517681971,0.20554984583761562,0.0,0.6037552389720141,hard_data_only,F,,2026-05-29,0.0,0.875,0.875,0.0,0.14285714285714285,0.5714285714285714,2026-05-29,0.9128223755902651,0.5232225773360487,0.08468108304561149,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.7790776152980876,0.0,0.0,0.0,0.0,0.39930970973643964,0.5800349600720474,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.46116665341764174,False,False,False,False
