ts_code,target_weight,prev_weight,delta_weight,action,price,price_date,price_source
000078.SZ,0.024999999999999998,0.0,0.024999999999999998,buy,1.68,20260529,tushare_snapshot
002726.SZ,0.024999999999999998,0.0,0.024999999999999998,buy,1.71,20260529,tushare_snapshot
300010.SZ,0.024999999999999998,0.0,0.024999999999999998,buy,2.81,20260529,tushare_snapshot
300068.SZ,0.024999999999999998,0.0,0.024999999999999998,buy,4.43,20260529,tushare_snapshot
300352.SZ,0.024999999999999998,0.0,0.024999999999999998,buy,3.11,20260529,tushare_snapshot
300430.SZ,0.024999999999999998,0.0,0.024999999999999998,buy,5.17,20260529,tushare_snapshot
300532.SZ,0.024999999999999998,0.0,0.024999999999999998,buy,6.97,20260529,tushare_snapshot
300663.SZ,0.024999999999999998,0.0,0.024999999999999998,buy,7.77,20260529,tushare_snapshot
301082.SZ,0.024999999999999998,0.0,0.024999999999999998,buy,10.44,20260529,tushare_snapshot
301360.SZ,0.024999999999999998,0.0,0.024999999999999998,buy,87.7,20260529,tushare_snapshot
600180.SH,0.024999999999999998,0.0,0.024999999999999998,buy,1.34,20260529,tushare_snapshot
600303.SH,0.024999999999999998,0.0,0.024999999999999998,buy,3.23,20260529,tushare_snapshot
600611.SH,0.024999999999999998,0.0,0.024999999999999998,buy,4.73,20260529,tushare_snapshot
600759.SH,0.024999999999999998,0.0,0.024999999999999998,buy,2.76,20260529,tushare_snapshot
603359.SH,0.024999999999999998,0.0,0.024999999999999998,buy,2.84,20260529,tushare_snapshot
688022.SH,0.024999999999999998,0.0,0.024999999999999998,buy,9.3,20260529,tushare_snapshot
688496.SH,0.024999999999999998,0.0,0.024999999999999998,buy,0.97,20260529,tushare_snapshot
688622.SH,0.024999999999999998,0.0,0.024999999999999998,buy,116.98,20260529,tushare_snapshot
