date,code,ts_code,board,industry,close,pred_score,portfolio_weight,target_exposure,cash_buffer,liquidity_amount_cny,amount,amount_mean_20,vol_20,listed_days,in_hs300
2026-05-29,688622,688622.SH,STAR,电器仪表,116.98,0.0133183002220117,0.04,0.8,0.19999999999999996,118219829.85,300561.074,118219.82985,0.0664878580599718,1719.0,0.0
2026-05-29,688496,688496.SH,STAR,元器件,0.97,0.0132945842701601,0.04,0.8,0.19999999999999996,35074343.6,17450.853,35074.3436,0.0991606320505942,1248.0,0.0
2026-05-29,688335,688335.SH,STAR,环境保护,28.68,0.0126950604982229,0.04,0.8,0.19999999999999996,115358459.85,129976.752,115358.45985,0.0539100257953341,2111.0,0.0
2026-05-29,920001,920001.BJ,BSE,元器件,15.32,0.0123553998026403,0.04,0.8,0.19999999999999996,102208320.772,92564.27944,102208.320772,0.0831109465110749,1249.0,0.0
2026-05-29,688618,688618.SH,STAR,通信设备,35.75,0.0122088204907602,0.04,0.8,0.19999999999999996,170900666.39999998,127357.978,170900.6664,0.0656742608431686,1976.0,0.0
2026-05-29,300626,300626.SZ,GEM,电气设备,35.49,0.0120730143025818,0.04,0.8,0.19999999999999996,484154410.95500004,535701.545,484154.410955,0.073187891720077,3357.0,0.0
2026-05-29,300275,300275.SZ,GEM,工程机械,9.658920779972972,0.0119154740401665,0.04,0.8,0.19999999999999996,132160403.1495,207123.79697,132160.4031495,0.0598602245460885,5322.0,0.0
2026-05-29,688419,688419.SH,STAR,半导体,52.56,0.0116034516144703,0.04,0.8,0.19999999999999996,277626939.65000004,239965.782,277626.93965,0.0704982789960452,1299.0,0.0
2026-05-29,300868,300868.SZ,GEM,元器件,106.35,0.0113901523999421,0.04,0.8,0.19999999999999996,421966297.985,410675.95215,421966.297985,0.0703401819499453,2104.0,0.0
2026-05-29,301016,301016.SZ,GEM,运输设备,15.56,0.0112975237936422,0.04,0.8,0.19999999999999996,131394835.55399999,82274.64924,131394.835554,0.0750354386274508,1794.0,0.0
2026-05-29,688625,688625.SH,STAR,化工原料,105.86,0.0112309533201798,0.04,0.8,0.19999999999999996,551503184.3999999,449217.819,551503.1843999999,0.0684693810999742,1817.0,0.0
2026-05-29,300983,300983.SZ,GEM,建筑工程,35.11,0.0110559142903297,0.04,0.8,0.19999999999999996,167816257.79200003,64429.03281,167816.25779200002,0.0707061236832121,1865.0,0.0
2026-05-29,688003,688003.SH,STAR,专用机械,101.96,0.0102911457266672,0.04,0.8,0.19999999999999996,735799734.6,913195.668,735799.7346,0.071194447435581,2503.0,0.0
2026-05-29,300965,300965.SZ,GEM,航空,59.85,0.0101249260292447,0.04,0.8,0.19999999999999996,222871117.3485,120125.62788,222871.1173485,0.0840137001651555,1883.0,0.0
2026-05-29,603226,603226.SH,MAIN,家居用品,48.4,0.0099522177028171,0.04,0.8,0.19999999999999996,264083581.35,452348.369,264083.58135,0.0497443910156613,3270.0,0.0
2026-05-29,300532,300532.SZ,GEM,软件服务,6.97,0.0096611954785098,0.04,0.8,0.19999999999999996,86949519.835,67163.48981,86949.519835,0.0693167502344898,3571.0,0.0
2026-05-29,688051,688051.SH,STAR,软件服务,31.66,0.009638699326177,0.04,0.8,0.19999999999999996,132234722.75000001,90200.985,132234.72275000002,0.0583329988145821,2261.0,0.0
2026-05-29,600234,600234.SH,MAIN,装修装饰,26.12,0.009542960559146,0.04,0.8,0.19999999999999996,229905366.79999998,142781.455,229905.3668,0.0581094500823969,9479.0,0.0
2026-05-29,688022,688022.SH,STAR,专用机械,9.3,0.0094127095071634,0.04,0.8,0.19999999999999996,76243654.89999999,32645.275,76243.6549,0.0656033138660013,2503.0,0.0
2026-05-29,688697,688697.SH,STAR,机床制造,20.82,0.0093937206071198,0.04,0.8,0.19999999999999996,453884121.2,322970.437,453884.1212,0.0669005988009707,1715.0,0.0
