feature,importance
hs300_close,4712
hs300_ret_60,4209
hs300_ret_20,3746
hs300_ret_10,3567
hs300_ret_5,3442
listed_days,749
vol_60,639
ret_120,364
amount,328
vol_20,318
amount_mean_20,307
alpha_ret_20_vs_hs300,254
close,252
ret_20,243
alpha_ret_60_vs_hs300,239
total_mv,210
ret_60,208
ret_5,195
ret_1,195
vol_5,194
pct_chg,194
amount_mean_5,187
ret_10,183
alpha_ret_5_vs_hs300,182
turnover_mean_20,163
circ_mv,153
amount_z_20,139
alpha_ret_10_vs_hs300,135
pre_close,131
turnover_rate,104
turnover_mean_5,98
feat_interaction_sparse,0
feat_volatility_adjusted_momentum,0
feat_log_return,0
feat_zscore_volume,0
feat_rolling_sum_close,0
feat_shifted_volatility,0
feat_abs_return,0
feat_inter_momentum_volatility,0
feat_zscore_close,0
feat_inter_volume_return,0
