feature,importance
hs300_close,4441
hs300_ret_60,4243
hs300_ret_20,3771
hs300_ret_5,3429
hs300_ret_10,3356
listed_days,700
vol_60,636
ret_120,367
amount,341
vol_20,324
amount_mean_20,297
alpha_ret_20_vs_hs300,247
ret_60,242
ret_20,233
alpha_ret_60_vs_hs300,231
alpha_ret_5_vs_hs300,208
amount_mean_5,206
close,201
ret_1,192
pct_chg,191
ret_5,182
total_mv,179
vol_5,178
ret_10,158
turnover_mean_20,157
alpha_ret_10_vs_hs300,129
circ_mv,128
amount_z_20,125
pre_close,117
feat_vol_adj_momentum_short,114
feat_vol_ratio,111
feat_vol_ratio_short,96
turnover_mean_5,93
turnover_rate,91
feat_vol_adj_momentum_40,81
feat_vol_adj_momentum_10,80
inter_vol_ret_vol,61
inter_mom_vol_10,43
feat_vol_adj_momentum,29
inter_mom_vol_ratio,17
inter_ret_vol_ratio,15
