feature,importance
hs300_close,4547
hs300_ret_60,4233
hs300_ret_20,3793
hs300_ret_10,3560
hs300_ret_5,3272
listed_days,782
vol_60,621
vol_20,369
amount,353
ret_120,350
amount_mean_20,328
close,258
alpha_ret_20_vs_hs300,252
ret_20,247
total_mv,213
ret_60,210
ret_1,208
alpha_ret_60_vs_hs300,204
ret_5,196
vol_5,196
pct_chg,191
amount_mean_5,188
alpha_ret_5_vs_hs300,188
ret_10,187
feat_shifted_close,166
turnover_mean_20,162
alpha_ret_10_vs_hs300,142
amount_z_20,141
pre_close,134
circ_mv,133
turnover_mean_5,118
turnover_rate,98
feat_inter_sparse,0
feat_volatility_adjusted_momentum,0
feat_log_return,0
feat_recent_weighted_return,0
feat_zscore_return,0
feat_recent_weighted_volume,0
feat_abs_return,0
feat_zscore_volume,0
feat_recent_weighted_momentum,0
