feature,importance
hs300_close,4710
hs300_ret_60,4197
hs300_ret_20,3744
hs300_ret_10,3582
hs300_ret_5,3443
listed_days,749
vol_60,639
ret_120,364
amount,328
vol_20,318
amount_mean_20,307
alpha_ret_20_vs_hs300,255
close,254
ret_20,242
alpha_ret_60_vs_hs300,239
total_mv,210
ret_60,208
pct_chg,200
ret_5,195
vol_5,194
ret_1,189
amount_mean_5,187
ret_10,183
alpha_ret_5_vs_hs300,182
turnover_mean_20,163
circ_mv,152
amount_z_20,139
alpha_ret_10_vs_hs300,135
pre_close,129
turnover_rate,104
turnover_mean_5,99
