feature,importance
hs300_close,4719
hs300_ret_60,4200
hs300_ret_20,3740
hs300_ret_10,3568
hs300_ret_5,3449
listed_days,749
vol_60,639
ret_120,364
amount,328
vol_20,318
amount_mean_20,307
close,253
alpha_ret_20_vs_hs300,253
ret_20,244
alpha_ret_60_vs_hs300,239
ret_60,208
total_mv,207
pct_chg,202
ret_5,195
vol_5,194
ret_1,187
amount_mean_5,187
ret_10,183
alpha_ret_5_vs_hs300,182
turnover_mean_20,163
circ_mv,155
amount_z_20,139
alpha_ret_10_vs_hs300,135
pre_close,130
turnover_rate,105
turnover_mean_5,98
