date,code,ts_code,board,industry,close,pred_score,portfolio_weight,target_exposure,cash_buffer,liquidity_amount_cny,amount,amount_mean_20,vol_20,listed_days,in_hs300,price,price_date,price_source,integrated_thesis_score,integrated_thesis_state,primary_event_type,primary_mechanism_group,primary_event_fact_id,primary_reason_chain,mechanism_reason_chain,earnings_reason,earnings_reason_chain,thesis_reason_chain,thesis_gate_stage,thesis_reject_reason,event_fact_backed,mechanism_primary,router_final_score,router_allow_entry,router_signal_state,candidate_tier,current_weight_ref,previous_state,is_existing_position,tech_allow_entry,base_portfolio_weight,model_rank_score,router_score_norm,size_confidence,crowding_penalty,admission_score,retention_score,current_state,desired_state,recommended_action,desired_action,position_action_intent,target_weight_cap_v2a,proposal_target_weight,build_speed,trim_speed,drop_reason,replacement_score,selected_for_target,final_target_weight_v2a,evidence_grade,evidence_verdict,pre_release_proxy_mult,pre_release_cash_scale
2026-05-29,601065,601065.SH,MAIN,化工原料,7.68,0.1629324160057223,0.026470588235294117,0.8,0.1999999999999999,29927678.5,19713.808,29927.6785,0.0070650069117687,1145.0,0.0,7.68,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,1.0,0.0,0.4,0.0,0.38000000000000006,0.4,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.38,False,0.0,D,watch_only,1.0,1.0
2026-05-29,688496,688496.SH,STAR,元器件,0.97,0.1589009417964695,0.026470588235294117,0.8,0.1999999999999999,35074343.6,17450.853,35074.3436,0.0991606320505942,1248.0,0.0,0.97,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.9375,0.0,0.375,0.0,0.35500000000000004,0.375,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.355,False,0.0,D,watch_only,1.0,1.0
2026-05-29,720,000720.SZ,MAIN,电气设备,5.28,0.1420478547026793,0.026470588235294117,0.8,0.1999999999999999,683071253.9000001,1178447.09098,683071.2539000001,0.0553351877892706,10612.0,0.0,5.28,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.875,0.0,0.35000000000000003,0.0,0.33000000000000007,0.35000000000000003,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.33,False,0.0,D,watch_only,1.0,1.0
2026-05-29,601186,601186.SH,MAIN,建筑工程,6.4,0.1410350128458847,0.026470588235294117,0.8,0.1999999999999999,380038070.35,572373.664,380038.07035000005,0.010288866820853,6654.0,1.0,6.4,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.8125,0.0,0.325,0.0,0.30500000000000005,0.325,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.305,False,0.0,D,watch_only,1.0,1.0
2026-05-29,600233,600233.SH,MAIN,仓储物流,18.75,0.1404059278551133,0.026470588235294117,0.8,0.1999999999999999,415140758.95,448799.691,415140.75895,0.013572227522871,9486.0,1.0,18.75,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.75,0.0,0.30000000000000004,0.0,0.2800000000000001,0.30000000000000004,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.28,False,0.0,D,watch_only,1.0,1.0
2026-05-29,2120,002120.SZ,MAIN,仓储物流,6.9,0.1374063763877461,0.026470588235294117,0.8,0.1999999999999999,304175337.8485,233902.4981,304175.3378485,0.0082165267011356,7024.0,1.0,6.9,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.6875,0.0,0.275,0.0,0.255,0.275,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.255,False,0.0,D,watch_only,1.0,1.0
2026-05-29,601825,601825.SH,MAIN,银行,8.5,0.135097996321084,0.026470588235294117,0.8,0.1999999999999999,189379877.7,233565.281,189379.8777,0.0117952188861082,1744.0,1.0,8.5,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.625,0.0,0.25,0.0,0.22999999999999998,0.25,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.23,False,0.0,NA,,1.0,1.0
2026-05-29,601128,601128.SH,MAIN,银行,7.09,0.1219052714354345,0.026470588235294117,0.8,0.1999999999999999,287648740.9,390534.823,287648.7409,0.0082825031895773,3528.0,0.0,7.09,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.5625,0.0,0.225,0.0,0.205,0.225,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.205,False,0.0,D,watch_only,1.0,1.0
2026-05-29,603359,603359.SH,MAIN,建筑工程,2.84,0.1069741140794873,0.026470588235294117,0.8,0.1999999999999999,57302893.2,51941.829,57302.893200000006,0.0367778471161754,3192.0,0.0,2.84,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.5,0.0,0.2,0.0,0.18,0.2,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.18,False,0.0,D,watch_only,1.0,1.0
2026-05-29,601158,601158.SH,MAIN,水务,4.32,0.1068123137703985,0.026470588235294117,0.8,0.1999999999999999,42849868.75,48748.254,42849.86875,0.0090697767307097,5905.0,1.0,4.32,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.4375,0.0,0.17500000000000002,0.0,0.155,0.17500000000000002,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.155,False,0.0,D,watch_only,1.0,1.0
2026-05-29,600998,600998.SH,MAIN,医药商业,4.8,0.1065526127155855,0.026470588235294117,0.8,0.1999999999999999,144937945.20000002,168955.355,144937.94520000002,0.0107877316041984,5687.0,1.0,4.8,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.375,0.0,0.15000000000000002,0.0,0.13,0.15000000000000002,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.13,False,0.0,D,watch_only,1.0,1.0
2026-05-29,601788,601788.SH,MAIN,证券,14.27,0.1056191524273503,0.026470588235294117,0.8,0.1999999999999999,579039418.1500001,591321.3,579039.41815,0.0158938418571091,6128.0,1.0,14.27,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.3125,0.0,0.125,0.0,0.105,0.125,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.105,False,0.0,D,watch_only,1.0,1.0
2026-05-29,601108,601108.SH,MAIN,证券,7.85,0.1039998700168764,0.026470588235294117,0.8,0.1999999999999999,501974845.4500001,429318.416,501974.84545,0.0169582372365662,3139.0,1.0,7.85,20260529,tushare_snapshot,0.0,,,,,,,,,,,,False,,,,,F,0.0,watch,False,False,0.0,0.25,0.0,0.1,0.0,0.08,0.1,watch,watch,watch,watch,defer_entry,0.0,0.0,0.0,0.0,candidate_too_weak,0.08,False,0.0,D,watch_only,1.0,1.0
