date,code,ts_code,board,industry,close,pred_score,portfolio_weight,target_exposure,cash_buffer,liquidity_amount_cny,amount,amount_mean_20,vol_20,listed_days,in_hs300
2026-05-29,688496,688496.SH,STAR,元器件,0.97,0.2344520441981475,0.045,0.9,0.09999999999999998,35074343.6,17450.853,35074.3436,0.0991606320505942,1248.0,0.0
2026-05-29,300430,300430.SZ,GEM,电器仪表,5.17,0.1558624378349699,0.045,0.9,0.09999999999999998,145705411.72899997,89029.77012,145705.41172899998,0.0775613327635205,4089.0,0.0
2026-05-29,300068,300068.SZ,GEM,电气设备,4.43,0.1344348698800342,0.045,0.9,0.09999999999999998,397188379.75850004,271652.40923,397188.3797585,0.0752226225281063,5882.0,0.0
2026-05-29,600180,600180.SH,MAIN,仓储物流,1.34,0.1326049318300365,0.045,0.9,0.09999999999999998,27963111.5,116594.924,27963.1115,0.0312084021941406,10192.0,0.0
2026-05-29,300352,300352.SZ,GEM,软件服务,3.11,0.1251352980636342,0.045,0.9,0.09999999999999998,267048326.90999994,114621.8555,267048.32690999995,0.0755109177833432,5007.0,0.0
2026-05-29,688051,688051.SH,STAR,软件服务,31.66,0.1187012636925894,0.045,0.9,0.09999999999999998,132234722.75000001,90200.985,132234.72275000002,0.0583329988145821,2261.0,0.0
2026-05-29,301016,301016.SZ,GEM,运输设备,15.56,0.1161442954896229,0.045,0.9,0.09999999999999998,131394835.55399999,82274.64924,131394.835554,0.0750354386274508,1794.0,0.0
2026-05-29,300290,300290.SZ,GEM,软件服务,11.16,0.1158626559843178,0.045,0.9,0.09999999999999998,402619485.2335,367809.5408,402619.4852335,0.0349124739897466,5216.0,0.0
2026-05-29,300010,300010.SZ,GEM,软件服务,2.81,0.1106304953088867,0.045,0.9,0.09999999999999998,246480846.594,143302.38536,246480.846594,0.0721771957207668,6055.0,0.0
2026-05-29,600363,600363.SH,MAIN,元器件,35.6,0.1100040112870347,0.045,0.9,0.09999999999999998,748308219.1999999,747661.177,748308.2191999999,0.0361160207952478,9192.0,0.0
2026-05-29,301280,301280.SZ,GEM,元器件,40.77,0.1095879983845415,0.045,0.9,0.09999999999999998,138608410.11800003,172700.25716,138608.41011800003,0.0662677678536179,1250.0,0.0
2026-05-29,603359,603359.SH,MAIN,建筑工程,2.84,0.1085294468870339,0.045,0.9,0.09999999999999998,57302893.2,51941.829,57302.893200000006,0.0367778471161754,3192.0,0.0
2026-05-29,300663,300663.SZ,GEM,软件服务,7.77,0.1069738249039905,0.045,0.9,0.09999999999999998,257671893.45949998,122873.12921,257671.8934595,0.0499458122878192,3277.0,0.0
2026-05-29,688228,688228.SH,STAR,软件服务,88.44,0.1063443893564921,0.045,0.9,0.09999999999999998,318835153.35,233607.332,318835.15335000004,0.0437660056005768,2254.0,0.0
2026-05-29,301082,301082.SZ,GEM,电气设备,10.44,0.106158081252325,0.045,0.9,0.09999999999999998,69932989.39700001,65734.73629,69932.98939700001,0.0548667244300112,1675.0,0.0
2026-05-29,300035,300035.SZ,GEM,电气设备,16.46,0.10596286632025,0.045,0.9,0.09999999999999998,700089521.0865,437370.40486,700089.5210865,0.0343091926022159,5999.0,0.0
2026-05-29,605069,605069.SH,MAIN,环境保护,11.86,0.1048498165585632,0.045,0.9,0.09999999999999998,152517360.05,113939.077,152517.36005000002,0.0479888432003694,1747.0,0.0
2026-05-29,300532,300532.SZ,GEM,软件服务,6.97,0.1047567926895737,0.045,0.9,0.09999999999999998,86949519.835,67163.48981,86949.519835,0.0693167502344898,3571.0,0.0
2026-05-29,301225,301225.SZ,GEM,汽车配件,91.04,0.1047331317472625,0.045,0.9,0.09999999999999998,355802949.9425,202963.87966,355802.9499425,0.0480141532679771,1078.0,0.0
2026-05-29,677,000677.SZ,MAIN,化纤,2.06,0.1043389679395217,0.045,0.9,0.09999999999999998,78019973.1945,195440.48393,78019.9731945,0.0351312499903114,10746.0,0.0
