feature,importance
total_mv,0.0
circ_mv,0.0
listed_days,0.0
pre_close,0.0
close,0.0
pct_chg,0.0
feat_price_acceleration,0.0
inter_volatility_reversal,0.0
feat_short_term_reversal,0.0
feat_relative_strength,0.0
feat_volume_price_divergence,0.0
feat_momentum_vol_adj,0.0
ret_120,0.0
feat_volatility_ratio,0.0
ret_60,0.0
feat_volatility_skew,0.0
alpha_ret_60_vs_hs300,0.0
ret_20,0.0
alpha_ret_20_vs_hs300,0.0
ret_10,0.0
alpha_ret_10_vs_hs300,0.0
ret_5,0.0
alpha_ret_5_vs_hs300,0.0
ret_1,0.0
vol_5,0.0
vol_20,0.0
vol_60,0.0
feat_volume_trend,0.0
feat_volume_shock,0.0
feat_price_range,0.0
inter_momentum_volume,0.0
feat_turnover_std,0.0
feat_volume_weighted_price,0.0
feat_price_volume_corr,0.0
