date,code,ts_code,board,industry,close,pred_score,portfolio_weight,target_exposure,cash_buffer,liquidity_amount_cny,amount,amount_mean_20,vol_20,listed_days,in_hs300
2026-05-29,688575,688575.SH,STAR,医疗保健,10.3,0.1785630318539714,0.05,1.0,0.0,83274668.75,100980.643,83274.66875,0.0174598892560786,1838.0,0.0
2026-05-29,600075,600075.SH,MAIN,化工原料,5.04,0.1741059412984785,0.05,1.0,0.0,146880119.75,91597.01,146880.11975,0.0207640715765434,10573.0,0.0
2026-05-29,688496,688496.SH,STAR,元器件,0.97,0.1598774275203278,0.05,1.0,0.0,35074343.6,17450.853,35074.3436,0.0991606320505942,1248.0,0.0
2026-05-29,600067,600067.SH,MAIN,电气设备,3.04,0.1547905309175185,0.05,1.0,0.0,105525614.0,79608.007,105525.614,0.0335676238462973,10613.0,0.0
2026-05-29,600051,600051.SH,MAIN,综合类,6.68,0.1462393921082712,0.05,1.0,0.0,54444841.2,44091.519,54444.8412,0.0189735468659441,10641.0,0.0
2026-05-29,688567,688567.SH,STAR,电气设备,13.01,0.1429803123755188,0.05,1.0,0.0,286588011.70000005,320775.549,286588.01170000003,0.0258404864168384,2142.0,0.0
2026-05-29,600080,600080.SH,MAIN,中成药,5.5,0.1411319000768157,0.05,1.0,0.0,51520062.1,63577.227,51520.0621,0.0280070414897916,10578.0,0.0
2026-05-29,600073,600073.SH,MAIN,食品,5.28,0.1384890122732682,0.05,1.0,0.0,41997437.95000001,47116.032,41997.43795000001,0.0131662519213705,10556.0,0.0
2026-05-29,600053,600053.SH,MAIN,多元金融,9.14,0.1339616806237278,0.05,1.0,0.0,84380205.35000001,39605.279,84380.20535,0.0389063815391857,10633.0,0.0
2026-05-29,300542,300542.SZ,GEM,软件服务,12.9,0.1337482294019671,0.05,1.0,0.0,73043353.267,77299.0798,73043.353267,0.0226393850637345,3538.0,0.0
2026-05-29,300534,300534.SZ,GEM,中成药,8.059011372593176,0.132854861887024,0.05,1.0,0.0,50324723.75,35829.52,50324.72375,0.0138583001517159,3545.0,0.0
2026-05-29,600052,600052.SH,MAIN,供气供热,4.23,0.1327563099662859,0.05,1.0,0.0,166785323.70000002,80606.138,166785.3237,0.0301020897171893,10636.0,0.0
2026-05-29,920414,920414.BJ,BSE,电器仪表,9.79,0.1316731668235989,0.05,1.0,0.0,33128339.795499995,17518.18876,33128.3397955,0.0280813727857435,1264.0,0.0
2026-05-29,2408,002408.SZ,MAIN,化工原料,5.1,0.1314763399310663,0.05,1.0,0.0,214411450.8355,178435.71179,214411.4508355,0.017390917922747,5855.0,0.0
2026-05-29,600072,600072.SH,MAIN,电气设备,11.25,0.1299339040751699,0.05,1.0,0.0,469906556.4,325065.357,469906.5564,0.0261647703382544,10587.0,0.0
2026-05-29,688571,688571.SH,STAR,染料涂料,8.59,0.1293485601545545,0.05,1.0,0.0,138452473.6,149275.682,138452.4736,0.0437785196106949,1995.0,0.0
2026-05-29,600059,600059.SH,MAIN,红黄酒,8.27,0.1292790072213747,0.05,1.0,0.0,83985217.2,104874.878,83985.2172,0.013871336445789,10605.0,0.0
2026-05-29,688280,688280.SH,STAR,汽车配件,5.78,0.1272386215491128,0.05,1.0,0.0,167978613.45000002,127188.374,167978.61345,0.0516585783740087,1675.0,0.0
2026-05-29,688569,688569.SH,STAR,运输设备,19.45287671232877,0.1267354350470943,0.05,1.0,0.0,19428148.2,8656.252,19428.1482,0.0116781602473939,2097.0,0.0
2026-05-29,600084,600084.SH,MAIN,红黄酒,4.84,0.1262540758945549,0.05,1.0,0.0,40345515.800000004,21680.675,40345.5158,0.0336637933118854,10549.0,0.0
