date,code,ts_code,board,industry,close,pred_score,portfolio_weight,target_exposure,cash_buffer,liquidity_amount_cny,amount,amount_mean_20,vol_20,listed_days,in_hs300
2026-05-29,688496,688496.SH,STAR,元器件,0.97,0.1410573659643649,0.05,1.0,0.0,35074343.6,17450.853,35074.3436,0.0991606320505942,1248.0,0.0
2026-05-29,600180,600180.SH,MAIN,仓储物流,1.34,0.0987250886525266,0.05,1.0,0.0,27963111.5,116594.924,27963.1115,0.0312084021941406,10192.0,0.0
2026-05-29,300891,300891.SZ,GEM,化工原料,7.09,0.0943045441712295,0.05,1.0,0.0,53503897.643999994,44843.62412,53503.897644,0.0197221082269304,2080.0,0.0
2026-05-29,688373,688373.SH,STAR,化学制药,4.68,0.0911306959474662,0.05,1.0,0.0,59112673.150000006,49383.042,59112.67315,0.0139413025039395,1393.0,0.0
2026-05-29,2492,002492.SZ,MAIN,仓储物流,6.18,0.0906194700800506,0.05,1.0,0.0,75095945.499,84373.54275,75095.945499,0.02392783037699,5687.0,0.0
2026-05-29,603086,603086.SH,MAIN,农药化肥,6.11,0.0889547975725582,0.05,1.0,0.0,39049115.1,41352.043,39049.1151,0.0141970691162331,3305.0,0.0
2026-05-29,2427,002427.SZ,MAIN,化纤,4.63,0.0879585780557165,0.05,1.0,0.0,93464201.607,56316.08644,93464.201607,0.0237493850178256,5834.0,0.0
2026-05-29,603359,603359.SH,MAIN,建筑工程,2.84,0.0875791680551962,0.05,1.0,0.0,57302893.2,51941.829,57302.893200000006,0.0367778471161754,3192.0,0.0
2026-05-29,603336,603336.SH,MAIN,农业综合,9.79,0.0874067199587015,0.05,1.0,0.0,298256968.15,303499.802,298256.96815,0.0341776337490426,3473.0,0.0
2026-05-29,2420,002420.SZ,MAIN,家用电器,5.93,0.0872755515955994,0.05,1.0,0.0,76988338.6,68512.28,76988.33859999999,0.0189249337860608,5841.0,0.0
2026-05-29,920014,920014.BJ,BSE,专用机械,9.9,0.0866404879713857,0.05,1.0,0.0,23388223.163,14800.25271,23388.223163,0.0249200313212107,1263.0,0.0
2026-05-29,300805,300805.SZ,GEM,广告包装,8.61,0.0860451916548633,0.05,1.0,0.0,74904826.792,63853.524,74904.82679199999,0.0202409727460411,2381.0,0.0
2026-05-29,300290,300290.SZ,GEM,软件服务,11.16,0.0858722512102266,0.05,1.0,0.0,402619485.2335,367809.5408,402619.4852335,0.0349124739897466,5216.0,0.0
2026-05-29,2092,002092.SZ,MAIN,化工原料,4.64,0.0855420745433964,0.05,1.0,0.0,395354863.85249996,301427.14376,395354.8638525,0.0230166509510478,7112.0,1.0
2026-05-29,603879,603879.SH,MAIN,化工原料,4.95,0.0850154083221824,0.05,1.0,0.0,52787363.75,56456.108,52787.36375,0.0225510962414494,3271.0,0.0
2026-05-29,300269,300269.SZ,GEM,元器件,5.24,0.0848999598681219,0.05,1.0,0.0,175670115.1225,134140.935,175670.1151225,0.0271682285858169,5343.0,0.0
2026-05-29,300435,300435.SZ,GEM,供气供热,18.708320744828438,0.084869736265522,0.05,1.0,0.0,300117902.78300005,172386.00686,300117.902783,0.0183124764839573,4082.0,0.0
2026-05-29,300471,300471.SZ,GEM,专用机械,9.91,0.0846939487608745,0.05,1.0,0.0,103418042.34850001,76669.956,103418.0423485,0.0205582524677895,4005.0,0.0
2026-05-29,301032,301032.SZ,GEM,工程机械,11.09,0.0843948789961647,0.05,1.0,0.0,65328163.0055,51063.495,65328.163005500006,0.025624842295949,1772.0,0.0
2026-05-29,300942,300942.SZ,GEM,医疗保健,6.7,0.0841777523684391,0.05,1.0,0.0,41321635.237,29075.844,41321.635237,0.0177238331074752,1935.0,0.0
